id,company_id,user_id,list_id,project_id,group_id,parent_user_id,parent_id,title,description,remainder,tag,stage,priority,note,due_date,status,internal_status,assigned_to,assigned_by,started_at,completed_at,sub_task_count,total_collaborators,total_attachment,total_comment,total_sub_task_complete,cron_run,delete,reminder_notify_sent,elastic_cron_run,duration_interval,duartion_frequency,recurring_task_id,created_at,updated_at,recent_at
6,9742398,55954329,7,0,0,0,0,"Buy Cake 🎂",,NULL,,,Low,,"2024-03-14 00:00:00",Completed,completed,44136773,55954329,"2024-02-26 17:49:07","2024-02-26 17:49:07",6,0,0,0,6,0,0,1,0,0,,0,"2024-02-26 17:49:07","2024-03-14 18:57:21","2024-03-13 15:36:54"
19,9742398,44136773,0,0,0,0,0,"Create Task","dsfsdfsdfsfsf sdfsdfsfsfsf sf s f fs fs fds fsd fds fs df sf sf sf sf sdf sf sf df sdf sf sf s f sfs dfdsfsdfsdfsfsf sdfsdfsfsfsf sf s f fs fs fds fsd fds fs df sf sf sf sf sdf sf sf df sdf sf sf s f sfs dfdsfsdfsdfsfsf sdfsdfsfsfsf sf s f fs fs fds fsd fds fs df sf sf sf sf sdf sf sf df sdf sf sf s f sfs dfdsfsdfsdfsfsf sdfsdfsfsfsf sf s f fs fs fds fsd fds fs df sf sf sf sf sdf sf sf df sdf sf sf s f sfs dfdsfsdfsdfsfsf sdfsdfsfsfsf sf s f fs fs fds fsd fds fs df sf sf sf sf sdf sf sf df sdf sf sf s f sfs dfdsfsdfsdfsfsf sdfsdfsfsfsf sf s f fs fs fds fsd fds fs df sf sf sf sf sdf sf sf df sdf sf sf s f sfs dfdsfsdfsdfsfsf sdfsdfsfsfsf sf s f fs fs fds fsd fds fs df sf sf sf sf sdf sf sf df sdf sf sf s f sfs dfdsfsdfsdfsfsf sdfsdfsfsfsf sf s f fs fs fds fsd fds fs df sf sf sf sf sdf sf sf df sdf sf sf s f sfs dfdsfsdfsdfsfsf sdfsdfsfsfsf sf s f fs fs fds fsd fds fs df sf sf sf sf sdf sf sf df sdf sf sf s f sfs dfdsfsdfsdfsfsf sdfsdfsfsfsf sf s f fs fs fds fsd fds fs df sf sf sf sf sdf sf sf df sdf sf sf s f sfs dfdsfsdfsdfsfsf sdfsdfsfsfsf sf s f fs fs fds fsd fds fs df sf sf sf sf sdf sf sf df sdf sf sf s f sfs dfdsfsdfsdfsfsf sdfsdfsfsfsf sf s f fs fs fds fsd fds fs df sf sf sf sf sdf sf sf df sdf sf sf s f sfs dfdsfsdfsdfsfsf sdfsdfsfsfsf sf s f fs fs fds fsd fds fs df sf sf sf sf sdf sf sf df sdf sf sf s f sfs dfdsfsdfsdfsfsf sdfsdfsfsfsf sf s f fs fs fds fsd fds fs df sf sf sf sf sdf sf sf df sdf sf sf s f sfs dfdsfsdfsdfsfsf sdfsdfsfsfsf sf s f fs fs fds fsd fds fs df sf sf sf sf sdf sf sf df sdf sf sf s f sfs df",NULL,,,High,"create description",NULL,Open,,82956457,44136773,"2024-02-27 16:09:17","2024-02-27 16:09:17",1,0,0,0,0,0,0,1,0,0,,0,"2024-02-27 16:09:17","2024-03-08 15:01:42","2024-03-02 15:59:05"
40,9742398,55954329,11,0,0,0,0,Design,"wrirefeame planning","2024-02-29 18:21:38",,,High,,"2024-03-05 11:27:41",Completed,completed,88479168,55954329,"2024-03-05 11:27:48","2024-03-05 16:55:37",0,0,0,0,0,0,0,1,0,0,,0,"2024-02-29 18:21:38","2024-03-05 16:55:37","2024-02-29 18:21:38"
52,9742398,44136773,0,0,0,0,0,"Project Module 2",Testing,"2024-02-29 19:39:39",,,Low,,"2024-03-01 00:00:00",Completed,completed,44136773,44136773,"2024-02-29 19:39:39","2024-03-01 14:09:18",1,0,0,0,0,0,0,1,0,0,,0,"2024-02-29 19:39:39","2024-03-08 14:57:36","2024-02-29 19:39:39"
56,9742398,55954329,5,0,0,0,0,"Test My Task",,NULL,,,"No Priority",,NULL,Open,Open,55954329,55954329,"2024-03-01 12:16:44","2024-03-01 12:16:44",0,0,0,0,0,0,0,1,0,0,,0,"2024-03-01 12:16:44","2024-03-01 12:17:01","2024-03-01 12:16:44"
57,9742398,55954329,14,0,0,0,0,"Edit Test",,NULL,,,"No Priority",,"2024-03-21 00:00:00",Completed,completed,44136773,44136773,"2024-03-01 12:27:27","2024-03-01 18:15:33",0,0,0,0,0,0,0,1,0,0,,0,"2024-03-01 12:27:27","2024-04-05 20:49:10","2024-03-01 18:14:15"
58,9742398,88479168,9,0,0,0,0,"Members module to search peoples",,NULL,,,Medium,,"2024-03-11 00:00:00",Completed,completed,88479168,88479168,"2024-03-11 10:07:57","2024-03-12 13:50:00",0,0,0,0,0,0,0,1,0,0,,0,"2024-03-01 12:37:49","2024-03-12 13:50:00","2024-03-06 19:36:16"
60,9742398,44136773,2,0,0,0,0,"Basic task module",testing,"2024-03-01 14:52:50",,,High,,"2024-03-03 00:00:01",Completed,completed,55954329,44136773,"2024-03-01 14:52:50","2024-03-08 19:26:57",0,0,0,0,0,0,0,1,0,0,,0,"2024-03-01 14:52:50","2024-03-08 19:26:57","2024-03-01 14:52:50"
63,9742398,55954329,8,0,0,0,0,"Add Users Dialog",,NULL,,,Medium,,"2024-03-02 16:55:00",Completed,completed,55954329,55954329,"2024-03-02 15:55:37","2024-03-02 15:56:29",0,0,0,0,0,0,0,1,0,0,,0,"2024-03-02 15:55:37","2024-03-02 15:56:29","2024-03-02 15:56:00"
65,9742398,55954329,8,0,0,0,0,"Quick Task Dialog Changes","1. Add support for due date selection.
2. Add support for quick assign to.",NULL,,,Medium,"1. Add support for date pickers.
2. Add support for Assign to.",NULL,Open,Open,55954329,55954329,"2024-03-02 15:57:16","2024-03-02 15:57:16",0,0,0,0,0,0,0,1,0,0,,0,"2024-03-02 15:57:16","2024-03-02 16:03:38","2024-03-02 15:58:17"
69,9742398,13426811,20,0,0,0,0,"Search Screen","search screen ui
search api integration
pagination",NULL,,,Medium,,"2024-03-09 17:26:00",Completed,completed,13426811,13426811,"2024-03-02 16:26:45","2024-03-05 08:10:26",0,0,0,0,0,0,0,1,0,0,,0,"2024-03-02 16:26:45","2024-03-05 08:10:26","2024-03-02 16:27:21"
88,9742398,88479168,9,0,0,0,0,"iOS is a mobile operating system developed by Apple Inc.",,NULL,,,Low,,"2024-03-08 11:00:35",Open,overdue,74963966,88479168,"2024-03-08 11:01:12","2024-03-05 15:38:51",0,0,0,0,0,0,0,1,0,0,,0,"2024-03-05 14:23:52","2024-03-08 11:09:57","2024-03-08 11:09:57"
107,9742398,55954329,4,0,0,0,0,Hi,,"2024-03-06 18:50:46",,,Starred,,NULL,Open,Open,85828582,55954329,"2024-03-06 18:50:46","2024-03-06 18:50:46",0,0,0,0,0,0,0,1,0,0,,0,"2024-03-06 18:50:46","2024-03-06 18:50:46","2024-03-06 18:50:46"
108,9742398,55954329,8,0,0,0,0,"Remove Obsolete Apis",,"2024-03-06 19:03:16",,,High,,"2024-03-07 20:03:00",Completed,completed,55954329,55954329,"2024-03-06 19:03:16","2024-03-08 19:26:52",0,0,0,0,0,0,0,1,0,0,,0,"2024-03-06 19:03:16","2024-03-08 19:26:52","2024-03-06 19:03:16"
131,9742398,53758645,32,0,0,0,0,"Test People",,"2024-03-07 15:31:13",,,Medium,,"2024-03-12 10:34:41",Open,overdue,53194396,53758645,"2024-03-12 10:34:45","2024-03-07 15:31:13",0,0,0,0,0,0,0,1,0,0,,0,"2024-03-07 15:31:13","2024-03-12 10:34:45","2024-03-07 15:31:13"
132,9742398,53758645,32,0,0,0,0,Nothing,,"2024-03-07 15:31:36",,,Low,,"2024-03-12 10:35:26",Open,overdue,88479168,53758645,"2024-03-12 10:35:29","2024-03-07 15:31:36",0,0,0,0,0,0,0,1,0,0,,0,"2024-03-07 15:31:36","2024-03-12 10:35:29","2024-03-07 15:31:36"
135,9742398,44136773,0,0,0,44136773,19,test,,"2024-03-08 08:40:48",,,"No Priority",,NULL,Open,,71764397,44136773,"2024-03-08 08:40:48","2024-03-08 08:40:48",0,0,0,0,0,0,0,1,0,0,,0,"2024-03-08 08:40:48","2024-03-08 15:01:52","2024-03-08 08:40:48"
213,9742398,44136773,1,0,0,0,0,"Task Listing Filter/Sorting",,"2024-03-11 16:03:31",,,High,,NULL,Open,Open,44136773,44136773,"2024-03-11 16:03:31","2024-03-11 16:03:31",0,0,0,0,0,0,0,1,0,0,,0,"2024-03-11 16:03:31","2024-03-12 18:51:50","2024-03-11 16:03:31"
232,9742398,94799591,69,0,0,0,0,"RICH EDIT TEXT","R&D about html and MD format","2024-03-11 18:03:27",,,High,,"2024-03-28 19:02:00",Open,overdue,94799591,94799591,"2024-03-11 18:03:27","2024-03-11 19:25:16",0,0,0,0,0,0,0,1,0,0,,0,"2024-03-11 18:03:27","2024-03-11 19:25:19","2024-03-11 18:03:27"
240,9742398,44136773,0,1,0,0,0,"Project Task View Flow",,"2024-03-11 18:49:07",,Server,"No Priority",,NULL,Completed,completed,44136773,44136773,"2024-03-11 18:49:07","2024-03-14 18:03:08",0,0,0,0,0,0,0,1,0,0,,0,"2024-03-11 18:49:07","2024-03-14 18:03:08","2024-03-11 18:49:07"
247,9742398,44136773,1,0,0,44136773,230,"test 2 test 2 test 2test 2test 2test 2test 2test 2test 2test 2test 2test 2test 2test 2test 2test 2test 2",,"2024-03-11 19:41:48",,,"No Priority",,"2024-03-28 00:00:00",Completed,completed,44136773,44136773,"2024-03-11 19:41:48","2024-03-11 19:41:48",0,0,0,0,0,0,0,1,0,0,,0,"2024-03-11 19:41:48","2024-04-05 20:47:54","2024-03-11 19:41:48"
267,9742398,55954329,8,0,0,0,0,Task,,NULL,,,"No Priority",,NULL,Open,Open,36146359,55954329,"2024-03-13 18:04:38","2024-03-13 18:04:38",0,0,0,0,0,0,0,1,0,0,,0,"2024-03-13 18:04:38","2024-03-13 18:06:05","2024-03-13 18:06:05"
301,9742398,44136773,7,0,0,55954329,6,Testing,,"2024-03-14 18:46:54",,,"No Priority",,"2024-03-19 00:00:00",Completed,completed,44136773,44136773,"2024-03-14 18:46:54","2024-03-14 18:46:54",0,0,0,0,0,0,0,1,0,0,,0,"2024-03-14 18:46:54","2024-04-11 13:41:43","2024-03-14 18:46:54"
305,9742398,44136773,94,0,0,0,0,"Create Project API",,"2024-03-15 10:06:06",,,High,,"2024-03-21 00:00:00",Completed,completed,44136773,44136773,"2024-03-15 10:06:06","2024-03-15 10:06:26",0,0,0,0,0,0,0,1,0,0,,0,"2024-03-15 10:06:06","2024-03-16 13:54:13","2024-03-15 10:06:06"
307,9742398,44136773,51,0,0,0,0,"create task 1","create description","2024-03-15 14:21:58",,,Low,,NULL,Open,Open,55954329,44136773,"2024-03-15 14:21:58","2024-03-15 14:21:58",2,0,0,0,0,0,0,1,0,0,,0,"2024-03-15 14:21:58","2024-03-15 19:14:11","2024-03-15 14:21:58"
309,9742398,44136773,51,0,0,0,0,Testing342,,"2024-03-15 15:16:53",,,Low,,NULL,Open,Open,55954329,44136773,"2024-03-15 15:16:53","2024-03-15 15:16:53",0,0,0,0,0,0,0,1,0,0,,0,"2024-03-15 15:16:53","2024-03-15 15:16:53","2024-03-15 15:16:53"
310,9742398,44136773,51,0,0,0,0,Testing123123,,"2024-03-15 15:16:53",,,"No Priority",,NULL,Open,Open,55954329,44136773,"2024-03-15 15:16:53","2024-03-15 15:16:53",0,0,0,0,0,0,0,1,0,0,,0,"2024-03-15 15:16:53","2024-03-15 20:10:27","2024-03-15 15:16:53"
311,9742398,44136773,51,0,0,0,0,Testing342,,"2024-03-15 15:17:17",,,Low,,"2024-03-17 00:00:00",Completed,completed,55954329,44136773,"2024-03-15 15:17:17","2024-03-18 18:02:41",0,0,0,0,0,0,0,1,0,0,,0,"2024-03-15 15:17:17","2024-03-18 18:02:41","2024-03-15 15:17:17"
312,9742398,44136773,51,0,0,0,0,pesting123123,,"2024-03-15 15:17:17",,,High,,NULL,Open,Open,44136773,44136773,"2024-03-15 15:17:17","2024-03-15 15:17:17",0,0,0,0,0,0,0,1,0,0,,0,"2024-03-15 15:17:17","2024-03-15 15:53:54","2024-03-15 15:17:17"
320,9742398,55954329,51,0,0,44136773,307,"Test 4",,"2024-03-15 19:14:10",,,"No Priority",,NULL,Open,Open,55954329,55954329,"2024-03-15 19:14:10","2024-03-15 19:14:10",0,2,0,0,0,0,0,1,0,0,,0,"2024-03-15 19:14:10","2024-03-15 20:14:13","2024-03-15 19:14:10"
321,9742398,55954329,51,0,0,44136773,307,"Test 5",,"2024-03-15 19:14:10",,,"No Priority",,"2024-03-17 00:00:00",Open,overdue,55954329,55954329,"2024-03-15 19:14:10","2024-03-15 19:14:10",0,2,0,0,0,0,0,1,0,0,,0,"2024-03-15 19:14:10","2024-03-16 11:54:43","2024-03-15 19:14:10"
322,9742398,55954329,51,0,0,0,0,"check Detail",,NULL,,,"No Priority",,NULL,Open,Open,55954329,55954329,"2024-03-15 19:38:09","2024-03-15 19:38:09",0,2,0,0,0,0,0,1,0,0,,0,"2024-03-15 19:38:09","2024-03-15 20:08:11","2024-03-15 19:38:09"
324,9742398,55954329,51,0,0,0,0,"Check collabrator task",,"2024-03-16 08:06:47",,,Low,,NULL,Open,Open,55954329,55954329,"2024-03-16 08:06:47","2024-03-16 08:06:47",1,2,0,0,0,0,0,1,0,0,,0,"2024-03-16 08:06:47","2024-03-25 15:45:20","2024-03-16 08:06:47"
325,9742398,78112225,94,0,0,0,0,"Project Detail",,"2024-03-16 08:42:31",,,Low,,"2024-03-18 18:21:03",Completed,completed,75299246,78112225,"2024-03-18 18:21:26","2024-03-20 08:57:43",0,3,0,0,0,0,0,1,0,0,,0,"2024-03-16 08:42:31","2024-03-20 08:57:43","2024-03-16 08:42:31"
326,9742398,78112225,77,0,0,0,0,"Personal testing",,"2024-03-16 08:45:57",,,Low,,NULL,Completed,completed,75299246,78112225,"2024-03-16 08:45:57","2024-03-20 08:57:44",2,3,0,0,0,0,0,1,0,0,,0,"2024-03-16 08:45:57","2024-03-20 08:57:44","2024-03-16 08:45:57"
328,9742398,78112225,77,0,0,78112225,326,"Testing 234",,"2024-03-16 08:51:47",,,Low,,NULL,Open,Open,32846295,44136773,"2024-03-16 08:51:47","2024-03-16 08:51:47",0,2,0,0,0,0,0,1,0,0,,0,"2024-03-16 08:51:47","2024-03-16 08:52:53","2024-03-16 08:51:47"
335,9742398,44136773,94,0,0,0,0,"Testing 453",,NULL,,,"No Priority",,"2024-03-20 19:07:04",Completed,completed,44136773,88479168,"2024-03-16 09:55:55","2024-03-20 08:57:42",0,2,0,0,0,0,0,1,0,0,,0,"2024-03-16 09:55:55","2024-03-20 08:57:42","2024-03-16 09:55:55"
336,9742398,44136773,94,0,0,0,0,"Testing 123",,"2024-03-16 14:51:54",,,Low,,"2024-03-18 18:21:03",Completed,completed,44136773,44136773,"2024-03-18 18:22:09","2024-03-20 08:57:41",1,2,0,0,0,0,0,1,0,0,,0,"2024-03-16 14:51:54","2024-04-05 21:07:58","2024-03-16 14:51:54"
337,9742398,44136773,94,0,0,0,0,"Collabrators change",,"2024-03-16 14:52:11",,,Low,,"2024-03-18 18:21:03",Completed,completed,44136773,44136773,"2024-03-18 18:21:40","2024-03-20 08:57:40",0,2,0,0,0,0,0,1,0,0,,0,"2024-03-16 14:52:11","2024-03-20 08:57:40","2024-03-16 14:52:11"
338,9742398,44136773,51,0,0,0,0,"Group chat",,"2024-03-16 15:18:56",,,Low,,NULL,Completed,completed,52152255,44136773,"2024-03-16 15:18:56","2024-03-20 08:57:40",0,2,0,0,0,0,0,1,0,0,,0,"2024-03-16 15:18:56","2024-03-20 08:57:40","2024-03-16 15:18:56"
339,9742398,44136773,51,0,0,0,0,"Testing 345",,"2024-03-16 15:45:20",,,"No Priority",,NULL,Completed,completed,"[object Object]",44136773,"2024-03-16 15:45:20","2024-03-20 08:57:39",0,0,0,0,0,0,0,1,0,0,,0,"2024-03-16 15:45:20","2024-03-20 08:57:39","2024-03-16 15:45:20"
340,9742398,44136773,51,0,0,0,0,"Testing 233",,"2024-03-16 15:45:20",,,"No Priority",,NULL,Completed,completed,"[object Object]",44136773,"2024-03-16 15:45:20","2024-03-20 08:57:38",0,0,0,0,0,0,0,1,0,0,,0,"2024-03-16 15:45:20","2024-03-20 08:57:38","2024-03-16 15:45:20"
341,9742398,44136773,51,0,0,0,0,"Testing 345",,"2024-03-16 15:49:49",,,"No Priority",,NULL,Completed,completed,55954329,44136773,"2024-03-16 15:49:49","2024-03-20 08:57:38",0,0,0,0,0,0,0,1,0,0,,0,"2024-03-16 15:49:49","2024-03-20 08:57:38","2024-03-16 15:49:49"
342,9742398,44136773,51,0,0,0,0,"Testing 233",,"2024-03-16 15:49:49",,,"No Priority",,"2024-03-18 12:11:41",Completed,completed,55954329,44136773,"2024-03-18 12:13:08","2024-03-20 08:57:37",0,0,0,0,0,0,0,1,0,0,,0,"2024-03-16 15:49:49","2024-03-20 08:57:37","2024-03-16 15:49:49"
345,9742398,44136773,1,0,0,0,0,"check run 1",,"2024-03-16 15:55:11",,,"No Priority",,NULL,Open,Open,18938931,44136773,"2024-03-16 15:55:11","2024-03-16 15:55:11",0,0,0,0,0,0,0,1,0,0,,0,"2024-03-16 15:55:11","2024-03-16 15:55:11","2024-03-16 15:55:11"
346,9742398,44136773,1,0,0,0,0,"check run 2",,"2024-03-16 15:55:11",,,"No Priority",,NULL,Open,Open,18938931,44136773,"2024-03-16 15:55:11","2024-03-16 15:55:11",0,0,0,0,0,0,0,1,0,0,,0,"2024-03-16 15:55:11","2024-03-16 15:55:11","2024-03-16 15:55:11"
